"posteam","season","avg_pass_epa","avg_rush_epa","avg_pur_pass_epa","avg_pure_rush_epa","avg_no_pur_pass_epa","avg_no_pure_rush_epa","proe","explosive_rate","turnover_rate","adot","avg_yac_epa","sack_rate","middle_prop","scramble_rate"
"ARI",2006,0.292455569566881,-1.02496677254547,0.795103529422261,-0.57207230125714,-0.44536564482519,-0.96791686347401,0.0296820103217652,-1.06442816662658,0.0894031082236962,-0.512560575547855,0.891756039492265,-0.346685948303031,0.480473933566508,-0.594065098921437
"ARI",2007,-0.0776067596169119,0.186820196356391,0.200837517495557,0.165493313166386,-0.538858496413369,0.205560215394736,0.406415243319286,-0.916599577400596,1.12936768537809,0.473206221750675,-1.45846929999382,-1.01773639336418,0.609559643563853,-0.707929532308756
"ARI",2008,0.847229421844396,-1.0654578608619,0.629319059078295,0.648431862531836,0.886871968915038,-1.67305714485229,1.96128433067677,0.201532866100571,0.739562985439702,-1.40093183133168,1.07277294894504,-0.730023125186836,-0.79937379935202,-1.50316105747028
"ARI",2009,0.0845395101911801,-0.869531051958257,-0.710903510911435,-0.597854854259359,0.98966218843378,-0.67584917914816,1.47681381130558,0.582842531748324,1.46418121071814,-0.638814087292409,-1.04235637573605,-1.01956073150061,-0.800410251674206,-1.0797256575956
"ARI",2010,-2.26651724292788,-0.719262053138687,-2.26433604062222,-0.170683302811352,-1.49957996950442,-0.753786055199766,0.543795675667554,-0.540455426920361,1.02012316268164,1.03731238645421,-1.70206505839054,1.16705645192009,-0.902141598940519,-0.812650104406852
"ARI",2011,-0.822406921709047,0.204404545185258,-0.628348242893805,-0.818406829532049,-0.890752547336792,0.54964357274409,0.66205783539806,-0.96825898122339,1.13662082551429,0.19670956233414,-0.568446040664557,1.3181093741299,-0.294870827130069,0.166429849123783
"ARI",2012,-2.49305875873363,-2.28560764714894,-2.16532506758744,0.0660708455114286,-2.48376460604905,-2.4654211509609,0.212363117598988,-1.60463683474283,1.46974970681405,-0.841712696255452,-0.670028585340006,1.6023505024972,-0.724417080188767,-0.796198516605331
"ARI",2013,-0.227053170605316,-0.422855493449645,-0.564470712553858,-0.843903084706312,0.346643764984796,-0.143876865016289,-0.0477440608169958,-0.427612923772699,1.24795444057201,0.884244487369013,-0.667098318829029,0.0812821342441802,1.55997917606768,-1.15505390539733
"ARI",2014,0.0273783957600085,-1.17019861617786,-0.0838742168252673,0.0957431518839078,0.163675862381762,-1.46002660841657,0.475814573062865,-0.357801447405648,-0.823217400522293,2.23869069391018,-0.565450932462093,-0.862070891239441,0.756255967488446,-0.531945652458483
"ARI",2015,2.00339912452212,0.885386879011739,1.19418431228773,0.293178714680234,2.54713304606059,1.01272667048654,0.517163879476488,1.25285468011469,0.143808567792728,2.26501748121888,-0.739894120955804,-0.86519674484649,0.599684159420862,-0.934508505585384
"ARI",2016,-0.31703628537451,0.685690273447574,-0.825544740429602,0.0738162223406648,0.887502022945271,0.823832855866696,0.22836088594693,-0.285658345276028,0.694240026226656,1.46232635018434,-0.75391572975337,0.224133451825565,0.118864110881547,-1.20857496969561
"ARI",2017,-1.05588656010632,-1.58813692544992,-0.652774312273566,-0.746866549999476,-1.40133899188274,-1.52815058991249,0.287325360491303,-1.39000891021825,0.573870549672189,1.52770580979046,-1.88228135283963,1.00678177004783,0.828527494944282,-0.605562846193039
"ARI",2018,-2.54425956058287,-1.50574282581291,-2.35658947092269,0.992362190618571,-1.69773787100596,-1.92781140002295,-1.08473382469163,-2.4634946705655,1.90528627009041,-0.0940393816093602,-1.20051089325865,1.26133643590781,-0.362330835579975,-0.472070599190478
"ARI",2019,-0.398217102428222,1.80701425998826,-0.657535407269942,1.32189405951911,0.0406895703360078,1.73093948778757,0.274748704041698,0.974583057563419,-0.572319175466019,-0.668463399572822,0.801680466795572,0.889309739543722,-1.00075901253969,0.396321734660762
"ARI",2020,-0.177434994220111,0.60179255974217,-0.543092288435317,1.41627433518949,0.383928446481402,0.0395127368875959,-0.0871858060285571,0.532620120819598,0.106282487049302,-0.081554858710586,-0.748101331365142,-0.721785025040431,-0.749630178731995,1.45260523606195
